epoch,step,min,max,mean,std
1,5000,-0.031526949256658554,0.017176395282149315,-0.0014982434222474694,0.007876326330006123
2,10000,-0.018604161217808723,0.027965689077973366,0.001089199329726398,0.006472548469901085
3,15000,-0.012760814279317856,0.015381970442831516,0.0013765324838459492,0.004258683416992426
4,20000,-0.015629058703780174,0.016063151881098747,-5.284629878588021e-05,0.004049924202263355
5,25000,-0.031230749562382698,0.03951241075992584,0.0021999329328536987,0.011702245101332664
6,30000,-0.01923934742808342,0.018328234553337097,-0.0007493727025575936,0.004460390657186508
7,35000,-0.020967349410057068,0.0320560596883297,0.0011617762502282858,0.008047264069318771
8,40000,-0.026178471744060516,0.0232100747525692,0.0005755713791586459,0.007316455245018005
9,45000,-0.021624665707349777,0.03285505622625351,-0.0006418300326913595,0.0070280712097883224
10,50000,-0.0386640802025795,0.04586634412407875,-0.0007062047952786088,0.012879494577646255
11,55000,-0.06428784132003784,0.05109075456857681,-0.000990117434412241,0.016835561022162437
12,60000,-0.034682340919971466,0.024537017568945885,-0.0015312847681343555,0.00857543759047985
13,65000,-0.06282144784927368,0.07982978224754333,0.001594338333234191,0.023080147802829742
14,70000,-0.0473104864358902,0.08641638606786728,0.001345531432889402,0.016362236812710762
15,75000,-0.020636769011616707,0.025699395686388016,-0.00046147615648806095,0.007818179205060005
16,80000,-0.03921935707330704,0.051562100648880005,0.001882168697193265,0.015354377217590809
17,85000,-0.0671987235546112,0.07850076258182526,-0.001033296575769782,0.021567659452557564
18,90000,-0.052132148295640945,0.0683254599571228,0.0003256992204114795,0.018109330907464027
19,95000,-0.15809549391269684,0.10238226503133774,-0.004996935836970806,0.04177233576774597
20,100000,-0.03935304656624794,0.054770126938819885,-0.0010915936436504126,0.015025255270302296
