epoch,step,min,max,mean,std
1,5000,-0.10778100788593292,0.24831916391849518,0.025835389271378517,0.04843677207827568
2,10000,-0.08547937870025635,0.22216765582561493,-4.4842621718999e-05,0.03181254491209984
3,15000,-0.5207823514938354,0.37267571687698364,0.008424283936619759,0.09157624840736389
4,20000,-0.35402458906173706,0.4078490436077118,0.010068774223327637,0.08466906100511551
5,25000,-0.31111350655555725,0.04488734155893326,-0.028362739831209183,0.047156695276498795
6,30000,-0.33547160029411316,0.4263112246990204,0.01901048608124256,0.09272999316453934
7,35000,-0.15710653364658356,0.37013742327690125,0.011340570636093616,0.0645580068230629
8,40000,-1.159334421157837,0.1484348177909851,-0.04959003999829292,0.15428008139133453
9,45000,-0.3537524342536926,0.12432342767715454,-0.018434584140777588,0.07748742401599884
10,50000,-0.20484909415245056,0.07074083387851715,-0.018281083554029465,0.03669343143701553
11,55000,-0.08338067680597305,0.35542652010917664,0.02819216251373291,0.05868096277117729
12,60000,-0.3488897979259491,0.20978929102420807,0.012583938427269459,0.08404342085123062
13,65000,-0.22830727696418762,0.28782016038894653,-0.009693811647593975,0.06251107901334763
14,70000,-0.11808405071496964,0.1655278354883194,0.005997294560074806,0.04687192663550377
15,75000,-0.09857836365699768,0.4644523859024048,0.019133787602186203,0.07120358943939209
16,80000,-0.18317103385925293,0.6616789698600769,0.021939586848020554,0.1038629412651062
17,85000,-0.4836173355579376,0.12301945686340332,-0.024407759308815002,0.0854601040482521
18,90000,-0.30854418873786926,0.37688034772872925,0.004370790906250477,0.08110508322715759
19,95000,-0.32627707719802856,0.38213303685188293,0.014945502392947674,0.08632733672857285
20,100000,-0.27294206619262695,0.39331871271133423,0.03309179097414017,0.0907161608338356
