epoch,step,min,max,mean,std
1,5000,-0.04870825260877609,0.03879285603761673,6.26289111096412e-05,0.010273776948451996
2,10000,-0.050185538828372955,0.08282551914453506,0.0004181169788353145,0.019984735175967216
3,15000,-0.07352879643440247,0.06239127367734909,0.0009141016635112464,0.02177446521818638
4,20000,-0.16447395086288452,0.21269147098064423,0.0016587323043495417,0.050525784492492676
5,25000,-0.05431143194437027,0.08921483904123306,-0.0004879554617218673,0.021043812856078148
6,30000,-0.060545261949300766,0.06479044258594513,1.3878510799258947e-05,0.024407874792814255
7,35000,-0.02935655042529106,0.04146546870470047,-0.0002814283943735063,0.009208123199641705
8,40000,-0.11205196380615234,0.1236986294388771,-0.002392809372395277,0.03493789583444595
9,45000,-0.08766407519578934,0.12130807340145111,-0.0016304985620081425,0.03764626011252403
10,50000,-0.11193589866161346,0.11909665167331696,-0.001241621095687151,0.03984849900007248
11,55000,-0.060742639005184174,0.05996037274599075,-0.00032621249556541443,0.01978333294391632
12,60000,-0.09557649493217468,0.12144480645656586,0.00034747773315757513,0.035164836794137955
13,65000,-0.1163206547498703,0.22028081119060516,-0.0001175705692730844,0.04682231321930885
14,70000,-0.14274480938911438,0.11318328976631165,-0.0015496790874749422,0.042838629335165024
15,75000,-0.08248189091682434,0.07195990532636642,0.000316101242788136,0.02148623578250408
16,80000,-0.13717855513095856,0.2286965548992157,0.0014619092689827085,0.04445817694067955
17,85000,-0.18512260913848877,0.15585118532180786,0.00029432150768116117,0.05835127457976341
18,90000,-0.07512621581554413,0.08837908506393433,0.0006844496820122004,0.02738347090780735
19,95000,-0.143349289894104,0.08801649510860443,-0.002452045911923051,0.03286150470376015
20,100000,-0.03356226533651352,0.03500716760754585,0.0022435218561440706,0.01319883856922388
