epoch,step,min,max,mean,std
1,5000,-0.053916990756988525,0.05130983144044876,0.0005332879372872412,0.008938213810324669
2,10000,-0.09078657627105713,0.08402423560619354,0.0001948012359207496,0.01482325792312622
3,15000,-0.14608386158943176,0.11612913012504578,-0.0001817260344978422,0.016261039301753044
4,20000,-0.21542373299598694,0.24403947591781616,0.0006753957713954151,0.028461238369345665
5,25000,-0.14653709530830383,0.11244814097881317,-0.000491306884214282,0.01878986321389675
6,30000,-0.20260658860206604,0.2852819561958313,0.0005610125954262912,0.029714353382587433
7,35000,-0.10791579633951187,0.13706308603286743,-1.0508216291782446e-05,0.015377635136246681
8,40000,-0.3009835481643677,0.5927788615226746,-0.00020628726633731276,0.03356219828128815
9,45000,-0.2841571271419525,0.43187034130096436,0.0006175858434289694,0.03384622558951378
10,50000,-0.17896351218223572,0.23803740739822388,-0.0002952700888272375,0.030410567298531532
11,55000,-0.18055856227874756,0.12066509574651718,-0.0006272823084145784,0.017007309943437576
12,60000,-0.23027601838111877,0.39272210001945496,9.4252398412209e-05,0.03100856952369213
13,65000,-0.2565564811229706,0.4249536693096161,-6.68614957248792e-05,0.038319554179906845
14,70000,-0.16473937034606934,0.2008976936340332,0.0008239403832703829,0.03090902976691723
15,75000,-0.07872523367404938,0.09646889567375183,-0.0003057157446164638,0.0143626993522048
16,80000,-0.4449126720428467,0.40517574548721313,-0.00029072180041112006,0.052390966564416885
17,85000,-0.3727153539657593,0.5065069198608398,-0.00037706081639043987,0.06426162272691727
18,90000,-0.8742148876190186,1.0495942831039429,0.0005548431654460728,0.050021942704916
19,95000,-0.12675970792770386,0.18358846008777618,0.000666341045871377,0.020237945020198822
20,100000,-0.06893040239810944,0.06605872511863708,-2.4584804123151116e-05,0.01287372037768364
