epoch,step,min,max,mean,std
1,5000,-0.014271426945924759,0.016062462702393532,0.0005223663756623864,0.0039991107769310474
2,10000,-0.022527948021888733,0.02503759041428566,-0.0007027972023934126,0.0062544820830225945
3,15000,-0.0227886401116848,0.015096453949809074,0.00017872924217954278,0.003566225990653038
4,20000,-0.01460930984467268,0.0180897805839777,0.00036432582419365644,0.004424852319061756
5,25000,-0.026264693588018417,0.012846440076828003,-0.0011532981880009174,0.005484216380864382
6,30000,-0.02683604322373867,0.029018651694059372,-7.227796595543623e-05,0.005676587577909231
7,35000,-0.034699447453022,0.030868954956531525,-0.0013787272619083524,0.010107064619660378
8,40000,-0.014674922451376915,0.025143366307020187,0.0007453496800735593,0.00629007164388895
9,45000,-0.054177504032850266,0.03660731017589569,0.0010138476500287652,0.009742237627506256
10,50000,-0.04358132928609848,0.032861676067113876,0.0003682207316160202,0.012576842680573463
11,55000,-0.04732580855488777,0.05666092410683632,0.00011773343430832028,0.017231566831469536
12,60000,-0.03681255504488945,0.034970998764038086,0.0011173438979312778,0.012355372309684753
13,65000,-0.03027069754898548,0.03490978479385376,0.0002615315024740994,0.007810419425368309
14,70000,-0.03396706283092499,0.03641204535961151,-0.0020311598200351,0.010876650922000408
15,75000,-0.06504493206739426,0.08207765221595764,0.0011424566619098186,0.024733640253543854
16,80000,-0.12570013105869293,0.12389151751995087,-0.002853060606867075,0.038094691932201385
17,85000,-0.10587359964847565,0.09301537275314331,0.004719338845461607,0.029990045353770256
18,90000,-0.05168445408344269,0.04843559488654137,0.0013953722082078457,0.01546202227473259
19,95000,-0.07277810573577881,0.08852390199899673,-0.00018882332369685173,0.02767598256468773
20,100000,-0.04378374293446541,0.05829538032412529,0.00020497932564467192,0.015840519219636917
