epoch,step,min,max,mean,std
1,5000,0.0001344176707789302,0.03046387992799282,0.015299148857593536,0.015164731070399284
2,10000,-0.13174279034137726,1.7735026631271467e-05,-0.06586252897977829,0.06588026136159897
3,15000,-0.009339109063148499,1.768001993696089e-06,-0.004668670706450939,0.004670438822358847
4,20000,-4.845857620239258e-05,8.403485196595284e-08,-2.4187271264963783e-05,2.4271304937428795e-05
5,25000,-0.10410921275615692,8.42232417141986e-09,-0.05205460265278816,0.05205461010336876
6,30000,-0.03299475461244583,2.9419739977498693e-09,-0.016497375443577766,0.016497379168868065
7,35000,-0.1163957342505455,7.016345837662641e-10,-0.05819786712527275,0.05819786712527275
8,40000,9.003453538269923e-10,0.08437488973140717,0.04218744486570358,0.04218744486570358
9,45000,2.353268135912856e-10,0.07502270489931107,0.03751135244965553,0.03751135244965553
10,50000,-0.11232956498861313,5.765386501543901e-10,-0.056164782494306564,0.056164782494306564
11,55000,5.887924869885097e-11,0.0961022824048996,0.0480511412024498,0.0480511412024498
12,60000,-0.044130533933639526,1.4929085745407633e-10,-0.022065266966819763,0.022065266966819763
13,65000,2.351119299248694e-10,0.020110098645091057,0.010055049322545528,0.010055049322545528
14,70000,-0.05311261862516403,3.528377034989205e-10,-0.026556309312582016,0.026556309312582016
15,75000,1.7189182022203653e-10,0.026040613651275635,0.013020306825637817,0.013020306825637817
16,80000,-0.024525463581085205,8.392748718222265e-10,-0.012262731790542603,0.012262732721865177
17,85000,8.673343154796953e-10,0.2740359902381897,0.13701799511909485,0.13701799511909485
18,90000,1.6374240852101707e-09,0.05511871352791786,0.02755935676395893,0.02755935676395893
19,95000,-0.05331055819988251,1.5064142155907234e-09,-0.026655279099941254,0.026655280962586403
20,100000,-0.14356081187725067,1.6587078377483522e-09,-0.07178040593862534,0.07178040593862534
