1,5000,0.012366387033186039
2,10000,5.41615898557211e-05
3,15000,6.199032154017914e-06
4,20000,7.005341351032257e-07
5,25000,6.178691983222961e-08
6,30000,4.845112562179565e-09
7,35000,3.6954879760742186e-10
8,40000,5.8114528656005857e-11
9,45000,7.450580596923828e-12
10,50000,5.960464477539063e-12
11,55000,4.470348358154297e-11
12,60000,7.078051567077637e-11
13,65000,2.682209014892578e-10
14,70000,9.5367431640625e-11
15,75000,1.1324882507324219e-10
16,80000,5.587935447692871e-11
17,85000,1.2367963790893555e-10
18,90000,4.693865776062012e-11
19,95000,5.587935447692871e-11
20,100000,6.0349702835083e-11
